issue_key,summary,assignee,Story Points,Priority,To Do,In Progress,Blocked,Review,UAT,Ready To Deploy
PSD-8247,"[Spike] Investigate and capture findings for: ""Error when moving SO to order submitted status""",ajin.krishna,3.0,Medium,0.00,15.11,0.00,0.00,0.00,0.00
PSD-9560,[SF Config][Spike] Clean-Up fields on Location & Service Capability,James Kirby,3.0,Medium,0.12,6.86,0.00,0.00,0.00,0.00
PSD-6095,Spike - Change In Signer Cases - Docusign,neeharika.gattu,5.0,Low,200.02,27.50,5.89,0.00,0.00,0.00
PSD-7893,[SF] Modify Activation letter for AP/DL to reflect DynamicLink,albin.pr,3.0,Medium,0.48,17.56,45.15,0.00,0.00,0.00
PSD-9567,SPIKE - Add new escalation lists on the tranzact portal,Aree.Chairatanatrai,3.0,Medium,0.08,6.86,0.00,0.00,0.00,0.00
PSD-9025,WaaS: Salesforce Field Additions - Service Capabilities,durwankur.shinde,3.0,Medium,0.00,11.15,0.00,0.00,21.24,5.12
PSD-9897,[SF] Add Read/View All Permissions to the Vendor Location Expenses Objects,Ajmal.T,3.0,Medium,0.00,1.27,0.00,0.00,4.01,7.20
PSD-8543,[SF Config] Bypass Order Entry Date for Packet SOs,durwankur.shinde,3.0,Medium,0.00,3.73,0.00,0.00,2.61,10.66
PSD-9685,Permission set update in Test and Production,durwankur.shinde,1.0,Medium,23.93,0.06,0.00,0.00,4.78,7.36
PSD-5244,[SF Config] Field removal tech debt cleanup,ajin.krishna,5.0,Medium,51.82,53.02,0.00,0.00,17.70,42.12
PSD-10027,[WoD] Digital Signature Email Not Being Sent (DEV environment),Neeharika Polisetti,5.0,Highest,0.00,0.00,0.00,0.00,0.00,0.00
PSD-9873,"(SF)TEST: Internal User unable to provision an new port Cloudlink order ,page is unable to transition to order in progress even after the digital signature was signed(the provision was not getting Kicked)",Neeharika Polisetti,3.0,Medium,5.91,0.24,12.65,0.00,0.00,0.00
PSD-8295,[SF] Setting up Access/Packet in Billing Automation,albin.pr,2.0,Highest,0.00,23.49,0.00,0.00,12.69,1.58
PSD-9051,[SF][Spike] Investigation: 3 fields are getting auto-populated on the SO incorrectly,neeharika.gattu,5.0,High,0.02,5.12,0.00,0.00,0.00,0.00
PSD-7941,[SF Config] Cannot move Service Order to Rejected,ajin.krishna,3.0,Medium,0.15,4.16,0.00,0.00,9.29,3.85
PSD-8505,[SF Front Office] Add a new issue type - Re/Certify Dark Fiber,abhilash.a,2.0,Medium,1.42,7.64,56.77,0.00,2.34,4.93
PSD-6578,[SF] Implement Rules for opportunity field settings.,abhilash.a,4.0,High,14.52,35.80,0.00,0.00,45.02,6.03
PSD-9585,New Permission Set for Edit access for newly created fields (Waves retention initiative),albin.pr,2.0,High,0.29,0.00,0.00,0.00,0.97,25.04
PSD-8526,"Phase 1, Waves retention initiative, new fields",albin.pr,2.0,High,0.00,7.28,3.40,0.00,4.93,25.04
PSD-6334,[SF Config] Permission Set creation for DocuSign Users,Neeharika Polisetti,2.0,Medium,0.00,57.17,57.53,0.00,27.15,60.28
PSD-8704,"Add ""Waves On-Demand"" as a  provisioning requirements field for the callout to TZ for autoprovision",Neeharika Polisetti,3.0,Medium,1.27,3.71,17.00,0.00,0.00,14.93
PSD-5485,[SF Dev] Trigger the TZ API when the DocuSign Recipient Status changes to Completed,Neeharika Polisetti,13.0,Medium,0.02,108.40,64.80,0.00,27.17,60.28
PSD-7972,SF Issue TEST: user is getting redirected to the wrong tranzact instance[PSD-7972],nicy.george,2.0,Medium,0.00,4.93,0.00,0.00,34.99,0.00
PSD-7885,[SF] Validation Rule that is blocking the Profile of Sales Rep/Standard from creating an Opportunity/SO,ajin.krishna,13.0,High,0.09,32.57,0.00,0.00,1.31,6.31
PSD-7742,[SF Config] Add a new field to ICB for Packet RT,Priya Verma,3.0,Medium,0.15,26.57,22.10,0.00,8.01,36.53
PSD-9544,"[SF] Add Read/View All Permissions to the Type II RFQ's, Type II RFQ Locations, Partner Quotes Objects",durwankur.shinde,2.0,Medium,0.00,0.42,0.00,0.00,9.27,4.98
PSD-6122,[SF] INC0161075: Billing Escalation List Changes,neeharika.gattu,3.0,Medium,16.58,33.49,0.00,0.00,0.00,0.00
PSD-9562,Product Group is not getting saved properly in Opportunity,nicy.george,2.0,Medium,0.00,7.64,0.00,0.00,0.00,0.00
